,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,286,Dcover Jcover-fuzz,time(Seconds):,1881,Jcover test verification on,time(Seconds):,304
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
GraphJet Core,com.twitter.graphjet.bipartite,MultiSegmentRandomIterator,,,,33,21,0.3888888888888889,33,21,0.3888888888888889,54,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,MultiSegmentIterator,,,,8,19,0.7037037037037037,8,19,0.7037037037037037,27,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,MultiSegmentReaderAccessibleInfo,,,,0,6,1.0,0,6,1.0,0,6,1.0
GraphJet Core,com.twitter.graphjet.bipartite,RightNodeMetadataMultiSegmentIterator,,,,28,0,0.0,28,0,0.0,28,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,RightSegmentEdgeAccessor,,,,15,0,0.0,15,0,0.0,7,8,0.5333333333333333
GraphJet Core,com.twitter.graphjet.bipartite,SegmentEdgeAccessor,,,,0,5,1.0,0,5,1.0,2,3,0.6
GraphJet Core,com.twitter.graphjet.bipartite,SegmentEdgeRandomAccessor,,,,0,4,1.0,0,4,1.0,0,4,1.0
GraphJet Core,com.twitter.graphjet.bipartite,MultiSegmentReaderAccessibleInfoProvider,,,,4,28,0.875,4,28,0.875,32,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,NodeMetadataLeftIndexedPowerLawMultiSegmentBipartiteGraph,,,,4,3,0.42857142857142855,4,3,0.42857142857142855,7,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,LeftSegmentRandomEdgeAccessor,,,,4,10,0.7142857142857143,4,10,0.7142857142857143,7,7,0.5
GraphJet Core,com.twitter.graphjet.bipartite,RightNodeMetadataLeftIndexedMultiSegmentBipartiteGraph,,,,10,3,0.23076923076923078,10,3,0.23076923076923078,13,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,MultiSegmentBipartiteGraph,,,,18,0,0.0,18,0,0.0,18,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,NodeMetadataMultiSegmentIterator,,,,5,0,0.0,5,0,0.0,5,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,LeftIndexedPowerLawMultiSegmentBipartiteGraph,,,,2,10,0.8333333333333334,2,10,0.8333333333333334,12,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,RightNodeMetadataLeftIndexedPowerLawMultiSegmentBipartiteGraph,,,,4,3,0.42857142857142855,4,3,0.42857142857142855,7,0,0.0
GraphJet Core,com.twitter.graphjet.bipartite,NodeMetadataLeftIndexedMultiSegmentBipartiteGraph,,,,10,3,0.23076923076923078,10,3,0.23076923076923078,13,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,ExactUserSocialProofSizeFilter,,,,1,9,0.9,1,9,0.9,10,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,RelatedTweetDirectInteractionsFilter,,,,0,5,1.0,0,5,1.0,5,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,DirectInteractionsFilter,,,,2,5,0.7142857142857143,2,5,0.7142857142857143,7,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,ANDFilters,,,,11,3,0.21428571428571427,11,3,0.21428571428571427,14,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,MinEngagementFilter,,,,0,5,1.0,0,5,1.0,5,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,TweetTimeRangeFilter,,,,0,8,1.0,0,8,1.0,8,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,SocialProofTypesFilter,,,,7,2,0.2222222222222222,7,2,0.2222222222222222,9,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,MinNumInteractionsFilter,,,,1,6,0.8571428571428571,1,6,0.8571428571428571,7,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,RequestedSetFilter,,,,2,5,0.7142857142857143,2,5,0.7142857142857143,7,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,DirectInteractions,,,,4,8,0.6666666666666666,4,8,0.6666666666666666,12,0,0.0
GraphJet Core,com.twitter.graphjet.algorithms.filters,RelatedTweetFilterChain,,,,7,4,0.36363636363636365,7,4,0.36363636363636365,5,6,0.5454545454545454
